8b074b08ea9e4f414616e656425c47e9fe02ccd4,03/30/2013,08:15:00,03,2013,540,3.3,10.05,0.00,0.00,0.00,10.05,Cash,0,0
8b074b1a544898320140cd0ecc7587aeb2bc5eba,11/21/2013,11:45:00,11,2013,720,3.7,10.85,0.00,0.00,1.00,11.85,Cash,0,0
8b074c4eb81c0e6847683feddde9fdfb190b3943,03/10/2013,03:45:00,03,2013,840,5.3,14.25,1.00,0.00,1.50,16.75,Credit Card,7.0175,1
8b074e89be1282069d44cb828c0aad5295832705,04/21/2013,03:45:00,04,2013,240,0,6.05,2.00,0.00,0.00,8.05,Credit Card,33.0578,1
8b074fa550b587699e1d83ea7ba4f4852dcadf0d,05/31/2013,04:45:00,05,2013,420,2.2,7.85,0.00,0.00,0.00,7.85,Cash,0,0
8b074feb80ff3da8156d08853f9e0eb49295b13a,04/14/2013,02:30:00,04,2013,600,0,9.85,1.00,0.00,0.00,10.85,Credit Card,10.1522,1
8b0750d84861897524403901adc5be21b13703d3,08/17/2013,02:15:00,08,2013,720,0,10.45,2.35,0.00,1.50,14.30,Credit Card,22.4880,1
8b07514803e9c9c19f450af4f89e009e546d0c81,04/13/2013,07:15:00,04,2013,240,0,5.05,0.00,0.00,1.00,6.05,Cash,0,0
8b0751714f718949ebddee48c68c12415b63b062,04/02/2013,09:00:00,04,2013,1140,0,18.25,2.00,0.00,0.00,20.25,Credit Card,10.9589,1
8b07521f5039fa89f1aa457d6d83a67f6a4e232c,07/20/2013,08:30:00,07,2013,1740,0,17.85,0.00,0.00,2.50,20.35,Cash,0,0
8b0754d869a15d2ad78889c14963e553e2cf920d,08/13/2013,04:30:00,08,2013,840,2,9.25,0.00,0.00,0.00,9.25,Cash,0,0
8b07555694068a69a5323d071fe2f6d1e8b87d4e,10/21/2013,05:45:00,10,2013,60,0,3.25,2.00,0.00,9.50,14.75,Credit Card,61.5384,1
8b07558ae134c73cc1210f4911f8fc0113cf01b2,10/11/2013,03:45:00,10,2013,960,3,11.45,0.00,0.00,0.00,11.45,Cash,0,0
8b0755d01b56ba82a95a0796bad2f93776c288e3,10/19/2013,10:00:00,10,2013,180,0,4.45,1.00,0.00,1.00,6.45,Credit Card,22.4719,1
8b09955c0f2b954253bd8386a36759398975e818,03/15/2013,05:00:00,03,2013,120,0.5,4.25,0.00,0.00,0.00,4.25,Credit Card,0,1
8b0756a72a9b5552e42dd79fa78f61790d1dd540,06/10/2013,11:00:00,06,2013,300,0,5.65,3.00,0.00,1.00,9.65,Credit Card,53.0973,1
8b0757fdd8227f85fd0c3bc3fe6f621acc97e75f,05/16/2013,07:15:00,05,2013,1380,0,25.25,0.00,0.00,2.00,27.25,Cash,0,0
8b07591790a27a553d565bfd53cba95e554c8aa5,12/24/2013,04:30:00,12,2013,360,1,5.85,0.00,0.00,1.00,6.85,Cash,0,0
8b075a57eaed78530e01f7d1582a83a74c00e7b2,12/09/2013,02:30:00,12,2013,780,0.1,9.25,0.00,0.00,1.00,10.25,Cash,0,0
8b075aa9f766cdb0a8ca372ed39a8fa60b47e19a,04/19/2013,04:00:00,04,2013,420,0,7.45,0.00,0.00,0.00,7.45,Cash,0,0
8b075ce07d5867f67ca5be20c79e981310f804d1,12/06/2013,09:15:00,12,2013,300,0.7,5.85,0.00,0.00,1.00,6.85,Cash,0,0
8b075dc13b21ee081598278f14a2ee3c95e9d95e,10/27/2013,05:30:00,10,2013,240,0,4.85,0.00,0.00,1.00,5.85,Cash,0,0
8b075de087db32265ee990a2782fa3aabdd53fa5,06/02/2013,11:45:00,06,2013,120,0,4.25,2.05,0.00,2.00,8.30,Credit Card,48.2352,1
8b075f4a8eac29a435f7212868befe706fa8b131,05/04/2013,07:15:00,05,2013,660,0,9.05,0.00,0.00,0.00,9.05,Cash,0,0
8b075f851f598740ce73f604311e63f159327153,07/02/2013,03:00:00,07,2013,360,0,5.45,0.00,0.00,0.00,5.45,Cash,0,0
8b0761b19f535276ee98c8e1d948f3dc3a4f6a6b,03/13/2013,08:15:00,03,2013,600,0,9.05,0.00,0.00,0.00,9.05,Cash,0,0
8b076222cf4fc039907e68f5f149d6e0dbfedb93,08/15/2013,02:15:00,08,2013,540,1.7,7.25,2.00,0.00,0.00,9.25,Credit Card,27.5862,1
8b076256fd1850c54c1571a17d0dc026223b76bb,10/11/2013,02:30:00,10,2013,420,1.4,6.65,0.00,0.00,0.00,6.65,Cash,0,0
